Date,Open,High,Low,Close,Volume,Adj Close
2010-12-31,115.32,115.730003,115.040001,115.629997,3725200,102.81828
2010-12-30,115.529999,115.709999,115.260002,115.449997,6599100,102.658224
2010-12-29,115.709999,115.980003,115.620003,115.650002,6621900,102.836068
2010-12-28,115.769997,115.879997,115.339996,115.790001,4738400,102.740028
2010-12-27,115.360001,115.639999,115.150002,115.540001,4138600,102.518204
2010-12-23,115.510002,115.790001,115.400002,115.730003,3578800,102.686792
2010-12-22,115.349998,115.660004,115.25,115.580002,3487300,102.553696
2010-12-21,115.110001,115.459999,114.989998,115.309998,4783100,102.314123
2010-12-20,115.139999,115.150002,114.379997,114.75,6742100,101.817239
2010-12-17,114.93,114.989998,114.480003,114.949997,4621200,101.994695
2010-12-16,114.989998,115.389999,114.419998,115.239998,8109500,102.018657
2010-12-15,114.910004,115.440002,114.68,114.889999,5851100,101.708814
2010-12-14,114.629997,115.379997,114.589996,115.010002,5212500,101.815048
2010-12-13,114.669998,115.029999,114.43,114.489998,4756900,101.354704
2010-12-10,114.099998,114.339996,113.769997,114.290001,8294000,101.177652
2010-12-09,114.349998,114.389999,113.510002,113.919998,5237500,100.850099
2010-12-08,113.699997,114.080002,113.449997,113.889999,6518700,100.823542
2010-12-07,114.620003,114.709999,113.669998,113.730003,7617300,100.681902
2010-12-06,113.779999,114.050003,113.629997,113.739998,6181100,100.69075
2010-12-03,113.339996,114.019997,113.309998,113.940002,4550500,100.867809
2010-12-02,112.769997,113.870003,112.75,113.739998,6146200,100.69075
2010-12-01,111.68,112.900002,111.589996,112.669998,7312300,99.74351
2010-11-30,109.669998,110.760002,109.559998,110.169998,8055600,97.530332
2010-11-29,110.260002,110.860001,109.400002,110.650002,6040400,97.955265
2010-11-26,110.940002,111.349998,110.639999,110.639999,2330100,97.946411
2010-11-24,111.00,111.959999,111.00,111.849998,4288200,99.017588
2010-11-23,110.779999,110.809998,109.900002,110.389999,6615500,97.725093
2010-11-22,111.550003,111.860001,110.540001,111.82,6814800,98.991031
2010-11-19,111.660004,112.059998,111.18,112.010002,4474300,99.159235
2010-11-18,111.360001,112.370003,111.349998,112.150002,7154500,98.963585
2010-11-17,110.639999,110.790001,110.260002,110.440002,5558800,97.454645
2010-11-16,111.589996,111.739998,110.07,110.50,9492400,97.507588
2010-11-15,112.32,113.029999,112.18,112.25,6607300,99.051826
2010-11-12,112.459999,112.989998,111.650002,112.160004,8695800,98.972411
2010-11-11,112.900002,113.260002,112.529999,113.080002,5517900,99.784238
2010-11-10,113.620003,113.889999,112.760002,113.730003,9956900,100.357813
2010-11-09,114.379997,114.410004,113.230003,113.690002,5838500,100.322515
2010-11-08,114.139999,114.349998,113.779999,114.220001,4081700,100.790198
