Date,Open,High,Low,Close,Volume,Adj Close
2008-01-02,142.117984564,146.233293085,142.117984564,146.233293085,10000,146.233293085
2008-01-03,147.471881087,151.027827285,147.032382119,151.027827285,10000,151.027827285
2008-01-04,151.347462898,152.865732061,146.512974247,149.269831412,10000,149.269831412
2008-01-07,148.111152313,149.269831412,144.275524954,144.395388309,10000,144.395388309
2008-01-08,144.715023922,148.390833475,143.116845856,144.794932825,10000,144.794932825
2008-01-09,145.234431794,146.233293085,142.157939016,142.237847919,10000,142.237847919
2008-01-10,141.598576692,144.91479618,140.759533208,141.478713337,10000,141.478713337
2008-01-11,142.397665726,145.833748569,141.638531144,145.434204052,10000,145.434204052
2008-01-14,144.994705084,150.108874897,144.715023922,146.552928699,10000,146.552928699
2008-01-15,145.514112955,150.66823722,144.075752696,149.030104702,10000,149.030104702
2008-01-16,149.269831412,150.66823722,144.155661599,147.831471152,10000,147.831471152
2008-01-17,148.350879023,152.865732061,148.231015668,150.468464962,10000,150.468464962
2008-01-18,151.027827285,154.503864579,147.871425603,154.463910128,10000,154.463910128
2008-01-22,151.107736188,157.180812841,149.030104702,149.110013605,10000,149.110013605
2008-01-23,149.869148187,152.10659748,144.515251664,144.515251664,10000,144.515251664
2008-01-24,146.393110892,148.430787927,144.315479406,145.594021859,10000,145.594021859
2008-01-25,145.913657472,149.749284832,144.355433857,149.589467025,10000,149.589467025
2008-01-28,151.507280705,153.904547805,149.589467025,153.904547805,10000,153.904547805
2008-01-29,155.902270388,158.539264197,150.1887838,150.868009478,10000,150.868009478
2008-01-30,151.826916318,151.826916318,147.192199925,147.192199925,10000,147.192199925
2008-01-31,147.831471152,150.548373865,145.554067407,148.870286895,10000,148.870286895
2008-02-01,149.509558122,152.945640965,149.189922508,150.548373865,10000,150.548373865
2008-02-04,152.146551931,155.502725871,151.507280705,155.502725871,10000,155.502725871
2008-02-05,155.982179291,160.297260071,155.502725871,160.297260071,10000,160.297260071
2008-02-06,163.253889494,165.09179427,162.534709364,165.09179427,10000,165.09179427
2008-02-07,168.44796821,169.88632847,165.8109744,169.88632847,10000,169.88632847
2008-02-08,173.961682539,174.680862669,173.961682539,174.680862669,10000,174.680862669
2008-02-11,184.269931068,184.269931068,166.210518917,166.210518917,10000,166.210518917
2008-02-12,167.768742531,170.086100728,158.379446391,161.73562033,10000,161.73562033
2008-02-13,161.25616691,162.175119299,156.661404969,159.018717617,10000,159.018717617
2008-02-14,161.535848072,166.849790143,160.856622394,164.772158657,10000,164.772158657
2008-02-15,166.010746658,167.888605886,161.97534704,164.931976463,10000,164.931976463
2008-02-19,164.300657893,168.759345295,162.564531825,165.484380212,10000,165.484380212
2008-02-20,165.95786914,165.95786914,161.262437274,163.116935574,10000,163.116935574
2008-02-21,163.47205227,165.168720927,161.301894685,164.931976463,10000,164.931976463
2008-02-22,165.444922802,168.285856368,162.564531825,167.930739672,10000,167.930739672
2008-02-25,169.193376812,177.479433046,169.193376812,177.479433046,10000,177.479433046
2008-02-26,191.684100875,191.684100875,177.203231172,191.684100875,10000,191.684100875
2008-02-27,201.390623892,212.99110262,170.377099131,196.497904973,10000,196.497904973
2008-02-28,195.66929935,200.127986752,181.504088931,182.293237144,10000,182.293237144
2008-02-29,184.936883656,185.726031869,170.456013953,172.349969663,10000,172.349969663
2008-03-03,171.245162165,180.872770361,171.245162165,174.086095731,10000,174.086095731
2008-03-04,175.190903229,177.676720099,166.865389585,172.823458591,10000,172.823458591
2008-03-05,172.192140021,179.136644293,170.377099131,175.190903229,10000,175.190903229
