Date,Open,High,Low,Close,Volume,Adj Close
1998-01-02,323.473938136,327.424764862,321.251598103,326.683984851,10000,326.683984851
1998-01-05,328.412471543,329.894031565,323.967791477,326.930911521,10000,326.930911521
1998-01-06,325.94320484,326.683984851,320.510818092,320.510818092,10000,320.510818092
1998-01-07,320.510818092,324.955498158,318.7823314,324.955498158,10000,324.955498158
1998-01-08,322.486231455,322.980084796,316.313064697,316.559991367,10000,316.559991367
1998-01-09,317.053844708,318.53540473,315.572284686,317.053844708,10000,317.053844708
1998-01-12,317.053844708,320.016964752,315.572284686,317.794624719,10000,317.794624719
1998-01-13,331.869444928,337.548758345,326.19013151,329.894031565,10000,329.894031565
1998-01-14,329.894031565,332.857151609,324.214718147,325.449351499,10000,325.449351499
1998-01-15,321.992378114,330.140958235,321.498524774,329.647104895,10000,329.647104895
1998-01-16,329.400178224,333.35100495,328.165544873,330.140958235,10000,330.140958235
1998-01-20,331.375591587,331.375591587,325.449351499,327.918618202,10000,327.918618202
1998-01-21,328.906324884,328.906324884,325.202424829,325.94320484,10000,325.94320484
1998-01-22,324.955498158,327.918618202,324.461644818,326.930911521,10000,326.930911521
1998-01-23,330.387884906,332.857151609,328.906324884,330.140958235,10000,330.140958235
1998-01-26,331.375591587,338.536465027,329.400178224,337.548758345,10000,337.548758345
1998-01-27,339.771098378,343.228071763,335.820271653,337.054905005,10000,337.054905005
1998-01-28,337.795685016,339.771098378,335.820271653,337.054905005,10000,337.054905005
1998-01-29,337.301831675,338.289538356,334.091784961,334.585638301,10000,334.585638301
1998-01-30,334.091784961,335.820271653,332.116371598,333.104078279,10000,333.104078279
1998-02-02,332.857151609,339.277245038,330.881738246,339.277245038,10000,339.277245038
1998-02-03,338.783391697,342.487291752,336.807978334,340.018025049,10000,340.018025049
1998-02-04,338.536465027,341.00573173,337.301831675,337.548758345,10000,337.548758345
1998-02-05,335.820271653,338.783391697,334.338711631,334.585638301,10000,334.585638301
1998-02-06,333.35100495,333.59793162,328.906324884,329.894031565,10000,329.894031565
1998-02-09,330.881738246,334.091784961,330.140958235,333.104078279,10000,333.104078279
1998-02-10,332.857151609,335.079491642,332.116371598,333.84485829,10000,333.84485829
1998-02-11,330.881738246,332.610224939,326.19013151,328.412471543,10000,328.412471543
1998-02-12,328.659398213,330.387884906,326.19013151,329.400178224,10000,329.400178224
1998-02-13,327.424764862,328.412471543,324.955498158,325.449351499,10000,325.449351499
1998-02-17,321.498524774,321.498524774,317.300771378,318.288478059,10000,318.288478059
1998-02-18,317.547698048,319.770038081,317.300771378,318.041551389,10000,318.041551389
1998-02-19,315.572284686,321.004671433,313.103017982,318.53540473,10000,318.53540473
1998-02-20,318.7823314,320.757744763,317.053844708,319.509001316,10000,319.509001316
1998-02-23,322.387460787,323.346947277,319.988744561,322.147589164,10000,322.147589164
1998-02-24,321.907717542,322.867204032,315.191312109,316.390670222,10000,316.390670222
1998-02-25,316.390670222,317.829899957,314.711568864,316.150798599,10000,316.150798599
1998-02-26,318.06977158,320.228616184,317.350156712,318.789386448,10000,318.789386448
1998-02-27,318.549514825,325.745663504,318.06977158,324.546305391,10000,324.546305391
1998-03-02,326.705149994,331.022839201,324.306433768,326.945021617,10000,326.945021617
1998-03-03,327.184893239,328.624122975,324.786177013,325.985535126,10000,325.985535126
1998-03-04,325.505791881,326.705149994,323.107075655,323.107075655,10000,323.107075655
1998-03-05,323.5868189,324.786177013,319.988744561,320.228616184,10000,320.228616184
1998-03-06,320.708359429,324.066562145,320.468487806,320.948231051,10000,320.948231051
1998-03-09,325.265920258,325.745663504,323.5868189,323.826690523,10000,323.826690523
1998-03-10,324.066562145,327.904508107,324.066562145,327.424764862,10000,327.424764862
1998-03-11,331.022839201,336.060143276,329.583609465,333.901298672,10000,333.901298672
1998-03-12,334.381041917,334.381041917,330.543095956,332.941812182,10000,332.941812182
1998-03-13,331.022839201,332.701940559,328.14437973,328.14437973,10000,328.14437973
1998-03-16,328.14437973,328.384251352,323.346947277,324.306433768,10000,324.306433768
1998-03-17,326.705149994,329.583609465,324.786177013,326.465278371,10000,326.465278371
1998-03-18,327.664636484,329.823481088,321.427974297,321.427974297,10000,321.427974297
1998-03-19,319.509001316,319.988744561,317.350156712,317.829899957,10000,317.829899957
1998-03-20,315.671055354,317.11028509,313.991953996,314.471697241,10000,314.471697241
1998-03-23,313.752082373,319.509001316,311.833109392,318.789386448,10000,318.789386448
1998-03-24,318.06977158,318.549514825,315.671055354,317.829899957,10000,317.829899957
1998-03-25,317.590028335,318.309643203,314.951440486,315.191312109,10000,315.191312109
1998-03-26,316.150798599,316.150798599,306.07619045,307.275548563,10000,307.275548563
1998-03-27,307.99516343,310.393879657,307.515420185,309.194521544,10000,309.194521544
1998-03-30,310.633751279,312.792595883,310.393879657,311.833109392,10000,311.833109392
1998-03-31,312.792595883,312.792595883,305.596447204,307.275548563,10000,307.275548563
1998-04-01,305.116703959,305.116703959,300.799014752,301.758501243,10000,301.758501243
1998-04-02,302.238244488,304.636960714,300.319271507,303.677474223,10000,303.677474223
1998-04-03,303.197730978,303.677474223,298.400298526,298.640170149,10000,298.640170149
1998-04-06,297.920555281,297.920555281,290.964278225,293.362994451,10000,293.362994451
1998-04-07,293.123122829,295.04209581,289.764920112,290.244663357,10000,290.244663357
1998-04-08,290.244663357,291.923764716,288.805433622,290.004791735,10000,290.004791735
1998-04-09,289.52504849,290.004791735,286.406717396,286.406717396,10000,286.406717396
1998-04-13,287.366203886,290.244663357,284.96748766,288.325690376,10000,288.325690376
1998-04-14,290.724406603,291.44402147,287.845947131,288.565561999,10000,288.565561999
1998-04-15,291.204149848,293.842737697,291.204149848,292.883251206,10000,292.883251206
1998-04-16,291.683893093,292.883251206,286.406717396,292.403507961,10000,292.403507961
1998-04-17,292.163636338,295.04209581,290.244663357,291.44402147,10000,291.44402147
1998-04-20,287.366203886,288.565561999,286.406717396,286.646589018,10000,286.646589018
